Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,93.0,1.0,93.0,93.0,0.0,40.907000000000025,0.0,0.0,0.013797521591186523,,,,,,,,,,,,,,,,,,,,,12.119154161269748,12.060503570414959,39.859597999402716,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,186.0,2.0,93.0,186.0,0.0,65.50799999999998,0.0,0.0,9.202743768692017,,,,,,,,,,,,,,,,,,,,,26.81670803213553,21.00236488503859,63.140263539827494,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,218.0,3.0,32.0,218.0,0.0,15.205999999999994,0.0,0.0,12.523739576339722,,,,,,,,,,,,,,,,,,,,,4.637094620060775,5.11752795456191,15.08777343124712,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,260.0,4.0,42.0,260.0,0.0,21.305000000000017,0.0,0.0,16.803030490875244,,,,,,,,,,,,,,,,,,,,,6.983808617942109,6.846124168130363,21.053766517314546,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,335.0,5.0,75.0,335.0,0.0,29.409000000000017,0.0,0.0,24.071084022521973,,,,,,,,,,,,,,,,,,,,,11.80298924487875,8.522519728924857,28.58090904381269,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,374.0,6.0,39.0,374.0,0.0,21.20700000000002,0.0,0.0,27.966188430786133,,,,,,,,,,,,,,,,,,,,,6.807422574567845,7.176204520105254,20.983456449033476,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,420.0,7.0,46.0,420.0,0.0,30.705000000000016,0.0,0.0,32.57953906059265,,,,,,,,,,,,,,,,,,,,,11.321001529680279,10.351159628041287,30.24469307108381,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,451.0,8.0,31.0,451.0,0.0,12.905999999999993,0.0,0.0,35.69627332687378,,,,,,,,,,,,,,,,,,,,,3.6437665683551,4.275269648180042,12.81866775321968,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,501.0,9.0,50.0,501.0,0.0,34.605999999999995,0.0,0.0,40.77030873298645,,,,,,,,,,,,,,,,,,,,,13.018873124027182,11.615903087127808,34.023068457645465,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,566.0,10.0,65.0,566.0,0.0,20.10700000000006,0.0,0.0,47.19242811203003,,,,,,,,,,,,,,,,,,,,,4.817365464973212,5.571495648573597,19.83351844815461,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
